customer_id,page_views,time_spent
1,27,2.93
1,2,2.31
2,17,14.14
3,14,2.92
4,7,1.42
5,36,1.28
5,26,8.1
6,7,4.31
7,6,10.0
8,20,3.83
8,19,6.93
9,9,8.14
10,2,1.01
11,21,13.03
11,30,14.64
12,36,6.95
12,35,3.07
13,37,6.81
13,35,4.99
14,31,8.33
14,6,6.91
15,27,4.27
15,20,0.65
16,23,4.66
17,32,14.23
18,20,0.63
18,28,12.07
19,1,8.45
20,27,13.29
21,26,4.12
21,25,12.51
22,17,1.65
23,34,11.59
24,19,9.9
24,35,12.23
25,13,12.88
25,12,2.48
26,30,9.46
27,40,7.63
27,21,0.78
28,35,0.82
29,19,4.4
30,1,3.88
30,10,0.71
31,22,6.59
32,24,7.22
32,3,5.29
33,4,4.36
34,5,8.38
34,12,3.29
35,25,12.51
35,8,14.63
36,25,11.68
37,16,11.2
37,3,3.39
38,34,10.16
39,31,6.14
40,21,2.8
40,3,11.3
41,17,7.48
42,13,5.73
42,4,13.02
43,8,3.92
44,21,0.72
44,18,8.98
45,16,0.63
45,3,8.93
46,39,2.75
46,6,4.11
47,6,10.45
47,22,14.0
48,4,5.66
49,35,11.98
50,32,3.87
51,29,11.13
51,2,10.49
52,9,4.14
52,3,7.54
53,36,4.77
53,32,3.25
54,35,5.54
55,18,13.08
55,39,13.76
56,5,8.2
57,19,12.38
57,35,5.82
58,33,6.0
59,2,9.49
60,40,3.96
60,5,10.05
61,13,8.1
61,32,11.6
62,40,4.61
63,21,2.1
63,34,10.05
64,9,3.09
65,13,2.05
66,7,0.96
67,32,8.12
67,38,4.21
68,15,9.29
68,5,0.69
69,32,13.96
70,30,12.11
71,24,8.59
72,24,12.02
72,4,12.44
73,34,1.09
73,5,12.6
74,14,14.43
75,7,11.01
76,13,3.3
76,16,8.77
77,36,11.36
78,7,11.61
78,37,5.69
79,28,13.3
79,11,11.99
80,33,5.39
80,11,8.24
81,23,13.59
81,36,14.88
82,24,6.48
82,28,12.48
83,39,3.99
83,35,3.6
84,24,14.44
84,29,14.42
85,3,14.75
86,34,2.46
87,1,4.85
87,15,3.61
88,2,11.69
88,18,13.83
89,7,1.05
90,10,2.51
90,24,13.4
91,15,4.22
92,6,8.77
92,37,13.81
93,21,12.0
94,32,12.47
95,39,9.81
96,37,6.03
97,22,5.54
98,27,13.99
98,8,13.11
99,39,13.97
100,4,4.92
100,3,5.13
101,21,7.78
102,10,1.23
103,29,11.42
103,37,7.82
104,28,4.7
105,10,2.42
105,6,7.4
106,36,6.29
107,26,7.78
108,9,7.47
109,32,6.23
110,36,9.43
111,16,1.54
112,21,10.43
112,37,1.8
113,28,5.8
113,13,5.15
114,20,2.95
115,40,12.41
115,29,9.54
116,3,13.9
116,15,3.4
117,10,11.49
117,6,2.13
118,16,14.26
119,19,0.7
120,20,7.03
121,22,3.53
122,14,8.42
123,36,7.5
123,10,10.58
124,25,8.95
125,17,2.97
126,13,11.94
126,40,4.43
127,1,1.47
127,18,10.11
128,7,0.78
128,25,3.85
129,33,14.66
129,7,13.61
130,39,8.21
130,12,3.38
131,36,13.93
131,2,1.08
132,22,7.6
132,11,0.77
133,23,9.57
133,16,14.94
134,4,9.57
134,25,13.41
135,36,14.26
136,10,5.46
137,9,1.77
137,25,8.05
138,27,3.99
139,28,14.57
140,29,8.36
140,14,9.96
141,9,4.98
142,28,14.94
143,37,13.8
144,5,8.58
144,8,3.17
145,2,11.6
146,27,4.9
146,18,2.7
147,7,2.41
148,40,9.45
149,39,3.87
150,23,1.65
151,9,7.78
151,39,7.3
152,12,12.86
152,32,7.37
153,13,3.78
154,1,13.92
154,27,3.73
155,14,1.46
156,40,7.6
156,21,13.07
157,28,6.37
158,39,11.16
159,21,6.22
159,37,9.11
160,34,2.09
161,3,13.23
161,16,8.02
162,3,8.59
162,34,11.59
163,13,4.72
164,20,11.72
164,19,7.19
165,19,9.39
165,4,10.5
166,30,12.53
167,6,10.98
167,8,3.11
168,26,6.5
169,2,3.09
169,38,13.5
170,30,1.81
171,11,10.92
171,8,1.82
172,24,1.74
172,25,11.04
173,25,8.48
174,11,13.73
175,11,13.1
176,4,6.58
177,29,4.69
177,12,2.2
178,13,0.55
179,1,7.15
179,32,8.38
180,39,13.3
181,14,9.04
182,30,6.45
182,6,9.22
183,16,13.29
184,40,9.62
184,14,1.21
185,4,9.97
186,10,12.88
187,22,13.85
187,4,2.08
188,11,10.25
189,30,11.37
190,3,1.85
190,20,5.18
191,5,11.5
191,36,1.44
192,9,2.27
192,18,5.27
193,34,3.54
193,14,9.37
194,37,11.08
195,31,11.0
196,28,9.33
196,21,4.27
197,9,9.41
197,32,8.04
198,32,12.22
198,40,3.87
199,13,0.52
199,2,7.24
200,14,12.09
201,27,1.16
201,23,8.63
202,1,9.79
203,17,11.96
203,20,4.85
204,1,2.15
204,22,5.45
205,12,3.31
206,31,13.78
206,3,9.86
207,10,9.59
207,35,13.49
208,27,13.95
208,4,12.61
209,37,11.01
209,21,8.55
210,14,8.87
211,23,1.46
211,10,4.57
212,22,14.76
213,37,9.28
214,39,2.19
215,21,10.79
215,18,6.5
216,16,5.89
216,20,3.63
217,12,2.13
217,3,11.78
218,29,7.84
219,33,2.73
219,22,13.89
220,21,2.58
220,7,12.42
221,14,11.01
222,25,10.85
222,34,2.18
223,3,10.46
223,39,13.14
224,30,13.39
224,7,8.05
225,2,8.87
225,20,9.76
226,21,3.41
227,18,8.22
227,29,10.23
228,10,2.78
228,8,0.72
229,14,8.37
230,18,2.55
230,19,8.82
231,5,5.01
232,35,6.93
232,9,0.92
233,7,6.06
234,28,6.18
235,40,5.66
235,22,12.35
236,30,8.73
237,30,1.91
238,30,7.32
238,15,2.58
239,24,6.19
239,22,11.94
240,30,7.57
240,5,7.39
241,31,7.19
241,11,4.59
242,39,8.83
242,33,1.99
243,21,8.56
244,20,8.22
245,38,6.49
245,40,4.03
246,31,6.07
247,14,12.3
247,38,6.75
248,37,11.92
248,35,10.56
249,5,11.22
250,8,9.09
250,30,5.22
251,29,3.05
252,5,9.17
252,39,11.68
253,21,7.67
253,4,1.81
254,38,13.6
255,10,10.08
256,35,4.73
256,40,8.88
257,14,10.38
258,20,8.77
258,20,13.82
259,23,14.86
259,38,0.62
260,9,12.86
260,4,5.85
261,1,10.7
262,8,12.99
262,2,3.91
263,21,10.82
263,26,6.03
264,12,7.39
265,36,6.08
266,27,2.74
266,9,2.45
267,2,2.59
268,28,14.64
268,9,1.73
269,30,13.46
269,39,13.99
270,30,7.89
271,25,5.65
271,12,6.66
272,37,7.72
273,33,4.4
274,3,14.68
274,37,7.51
275,8,8.91
275,6,2.56
276,30,8.0
276,34,13.4
277,16,7.35
278,35,12.07
279,40,1.27
279,22,8.26
280,31,7.08
281,37,11.14
281,27,5.62
282,19,2.93
282,39,11.37
283,4,9.62
283,38,2.95
284,19,12.23
285,19,7.53
286,33,1.61
287,17,2.42
287,18,4.49
288,1,11.25
288,39,3.03
289,29,5.86
290,17,11.85
291,32,3.12
292,22,14.77
293,39,14.04
294,32,11.42
295,25,3.95
295,29,11.03
296,14,8.88
297,4,9.81
297,8,1.26
298,26,7.41
298,31,11.32
299,25,10.41
300,31,4.31
300,34,13.12
301,19,13.94
302,25,10.34
302,34,10.4
303,7,13.81
304,28,9.35
304,18,5.36
305,7,4.2
305,38,6.17
306,38,11.67
307,12,5.04
307,1,10.26
308,1,6.46
309,29,5.6
310,17,3.3
310,2,9.48
311,39,10.02
312,39,9.75
313,6,12.92
314,25,10.02
315,8,10.59
316,19,7.27
316,5,9.76
317,28,10.54
317,21,4.23
318,18,11.77
319,25,5.32
319,4,4.24
320,12,6.89
320,32,14.7
321,40,6.19
322,7,2.59
322,28,3.67
323,29,10.87
324,3,1.56
325,29,0.77
325,32,2.66
326,3,10.14
327,10,10.65
327,26,8.83
328,31,6.82
328,5,8.33
329,25,14.34
330,8,8.73
330,23,5.33
331,26,1.3
331,6,5.8
332,6,12.7
332,19,9.89
333,36,1.07
334,13,4.83
334,25,13.5
335,32,1.73
335,29,11.16
336,3,3.3
337,32,6.14
338,32,8.24
338,29,14.52
339,3,5.42
340,3,6.38
340,14,12.2
341,35,2.66
341,38,3.88
342,3,11.16
343,2,7.33
343,40,1.16
344,1,3.0
345,20,12.4
346,30,9.36
347,7,2.16
348,5,12.16
349,22,12.27
349,26,5.2
350,21,12.63
351,3,9.1
352,5,2.25
352,10,11.48
353,24,8.52
354,16,13.92
354,3,2.43
355,11,0.73
355,32,1.67
356,12,13.93
357,27,10.56
357,31,10.54
358,10,9.78
359,27,3.97
359,12,9.35
360,39,3.11
361,40,14.28
361,20,5.54
362,36,3.92
363,34,14.66
364,35,7.86
364,30,11.67
365,18,1.27
366,10,10.44
367,32,3.06
367,3,1.28
368,19,3.54
368,17,5.35
369,3,2.01
369,4,13.91
370,11,11.89
371,33,2.18
371,16,10.96
372,27,3.38
372,21,3.84
373,21,3.8
374,27,13.11
375,15,1.57
375,38,7.52
376,10,3.63
376,40,7.1
377,24,2.48
377,13,9.66
378,13,5.37
378,3,10.54
379,18,2.48
380,30,6.56
380,22,3.69
381,39,2.77
381,40,13.63
382,6,6.47
383,14,9.08
383,30,4.55
384,16,4.09
384,28,8.9
385,37,13.52
386,3,1.08
386,31,11.14
387,28,8.2
388,7,7.06
388,16,1.7
389,27,14.27
390,23,4.79
391,2,7.46
392,11,10.7
392,37,11.34
393,30,7.22
394,26,3.18
395,30,10.71
395,1,12.98
396,25,13.45
397,34,0.97
397,28,11.42
398,6,9.5
399,4,7.96
399,24,13.38
400,25,5.8
401,24,5.81
402,36,10.79
403,9,14.73
404,35,2.15
405,38,13.13
405,14,11.42
406,21,5.61
407,33,10.36
407,18,1.29
408,23,7.06
408,33,8.14
409,31,10.79
410,29,9.5
410,5,3.23
411,6,1.66
411,12,4.68
412,7,2.89
413,10,7.7
414,34,14.31
415,19,6.54
416,31,5.53
417,2,4.73
417,5,0.82
418,34,9.85
419,38,5.47
419,21,7.55
420,30,4.91
420,9,13.53
421,11,11.94
421,15,7.52
422,4,2.65
422,19,7.11
423,40,13.9
424,12,14.61
424,10,2.84
425,3,14.91
426,29,4.28
427,14,8.66
428,21,14.68
429,24,7.0
430,35,4.87
431,26,14.0
432,30,13.95
433,1,14.57
434,19,7.37
434,19,14.56
435,37,11.06
436,22,10.49
436,31,13.55
437,36,2.19
438,26,9.45
439,29,5.68
440,4,9.32
440,13,8.96
441,18,3.34
442,35,12.82
443,33,6.22
444,21,9.25
444,33,14.18
445,26,2.65
445,28,5.86
446,1,4.63
446,23,4.97
447,36,1.77
447,29,11.25
448,29,4.69
448,28,11.06
449,9,12.61
449,39,1.75
450,20,7.38
451,5,14.03
451,38,11.46
452,1,6.44
453,27,3.04
453,30,10.8
454,13,3.2
455,19,8.53
455,3,12.43
456,38,4.91
456,36,11.23
457,2,11.97
458,17,4.85
459,8,9.98
459,19,6.55
460,16,0.91
460,18,7.65
461,39,11.31
462,37,6.82
462,17,9.61
463,8,5.91
463,37,0.75
464,11,8.93
464,10,5.14
465,23,2.87
466,24,6.58
466,23,1.21
467,34,9.76
467,5,7.95
468,7,9.18
469,35,5.18
470,20,4.44
470,24,1.89
471,10,0.69
471,34,4.58
472,27,5.43
472,11,1.99
473,33,3.71
474,36,9.39
475,27,7.18
476,8,12.37
477,31,5.55
478,9,12.35
478,39,8.09
479,12,10.79
479,2,11.29
480,15,2.37
481,15,4.96
482,9,14.73
483,8,1.63
483,31,11.48
484,13,2.06
485,31,2.22
486,3,1.46
486,1,11.44
487,39,3.48
488,12,10.22
489,6,2.61
490,38,5.54
490,11,12.9
491,33,8.77
492,38,11.57
493,13,14.48
494,35,0.56
495,14,13.85
496,24,10.62
496,12,6.88
497,12,12.6
498,28,3.61
498,15,6.41
499,8,7.26
499,34,2.47
500,19,8.58
500,3,1.69
501,8,6.08
501,30,9.21
502,29,3.78
502,27,4.71
503,13,12.92
503,31,14.12
504,12,0.69
504,32,10.25
505,29,8.08
505,6,2.23
506,26,10.58
506,7,11.25
507,5,5.77
508,22,3.4
509,8,3.88
509,28,11.02
510,38,9.11
510,26,5.66
511,32,7.92
511,10,11.64
512,8,4.14
513,15,9.61
513,9,0.93
514,5,7.72
515,12,6.05
516,10,4.89
516,40,1.9
517,34,11.63
518,13,4.76
518,32,7.61
519,35,5.48
519,35,8.43
520,28,13.26
521,25,7.03
522,29,7.17
522,3,3.06
523,11,7.63
523,9,5.03
524,32,11.58
524,37,10.29
525,31,8.65
525,11,7.85
526,17,7.67
526,25,9.45
527,19,5.15
527,2,9.06
528,24,5.56
529,22,6.02
530,23,14.88
530,27,5.59
531,16,3.9
532,38,1.73
532,5,13.1
533,22,2.96
534,3,7.18
534,28,8.74
535,18,0.8
535,31,9.03
536,25,8.77
536,21,8.8
537,7,10.52
537,14,5.37
538,11,9.42
538,24,14.56
539,32,9.71
540,35,3.6
541,4,4.81
541,37,6.33
542,40,11.27
543,38,1.87
544,18,1.48
544,34,7.39
545,23,12.04
546,33,12.16
546,28,10.12
547,13,6.51
547,17,9.56
548,36,3.12
548,2,9.6
549,37,7.74
550,18,14.09
550,35,12.23
551,37,11.04
551,4,8.07
552,30,2.64
552,10,11.32
553,28,6.45
553,5,9.69
554,18,12.44
554,11,4.22
555,26,3.96
556,13,0.9
557,30,7.54
557,28,6.62
558,13,2.81
559,2,4.25
560,36,3.05
560,3,14.47
561,2,1.3
561,6,5.05
562,5,13.56
562,27,13.5
563,26,14.18
564,16,2.12
565,34,10.13
566,32,13.33
566,16,9.2
567,22,12.57
567,25,12.18
568,28,3.66
569,12,3.6
570,29,6.42
570,38,1.31
571,8,5.09
571,28,7.39
572,18,13.25
573,24,7.39
574,20,0.81
574,39,1.0
575,16,4.17
576,20,9.76
576,24,13.6
577,35,13.07
578,25,0.61
578,26,13.95
579,20,1.81
579,16,4.81
580,29,9.65
581,3,4.47
581,6,12.44
582,31,11.19
582,22,10.9
583,11,10.63
584,23,6.6
585,30,10.58
585,4,9.8
586,29,11.97
587,1,6.31
588,21,8.85
588,8,2.79
589,39,10.44
590,29,7.44
590,9,4.28
591,19,3.38
591,27,5.83
592,25,14.2
592,37,3.76
593,36,9.88
594,6,14.62
595,17,10.67
596,4,6.32
597,39,4.27
597,6,14.39
598,37,2.2
599,30,12.5
599,32,2.22
600,13,14.22
