customer_id,gender,region,age_group,total_purchases,avg_purchase_value,total_interactions,avg_interactions_per_day,total_page_views,avg_time_spent,purchase_per_interaction,time_per_page_view
1,Male,East,65+,604.01,140.77,18,3.6,65,9.96,33.5561,0.153231
2,Male,South,65+,311.54,241.89,6,2.0,77,3.12,51.9233,0.040519
3,Male,South,50-64,895.21,201.23,10,10.0,130,2.2,89.521,0.016923
4,Male,West,35-49,1084.34,218.37,43,14.33,28,1.86,25.2172,0.066429
5,Female,North,50-64,1400.04,151.86,27,5.4,181,9.7,51.8533,0.053591
6,Nonbinary,North,18-34,417.8,193.5,24,6.0,181,4.34,17.4083,0.023978
7,Nonbinary,North,35-49,427.42,161.05,26,6.5,43,1.81,16.4392,0.042093
8,Nonbinary,West,35-49,427.59,107.72,13,3.25,81,7.73,32.8915,0.095432
9,Male,East,50-64,938.75,233.24,21,4.2,90,4.92,44.7024,0.054667
10,Female,East,65+,1157.33,62.35,47,7.83,122,1.48,24.624,0.012131
11,Female,North,35-49,315.55,151.67,15,2.5,129,4.93,21.0367,0.038217
12,Male,North,65+,566.95,218.53,36,9.0,136,2.01,15.7486,0.014779
13,Nonbinary,South,18-34,556.93,77.05,23,11.5,53,7.75,24.2143,0.146226
14,Male,South,18-34,812.72,179.82,31,31.0,73,7.91,26.2168,0.108356
15,Nonbinary,North,50-64,87.65,210.77,48,48.0,110,4.36,1.826,0.039636
16,Female,East,35-49,91.87,148.87,50,8.33,132,5.09,1.8374,0.038561
17,Male,North,50-64,1456.17,203.73,33,11.0,197,10.0,44.1264,0.050761
18,Nonbinary,South,35-49,1301.75,244.44,23,7.67,24,7.69,56.5978,0.320417
19,Nonbinary,West,18-34,628.34,69.84,30,30.0,15,8.67,20.9447,0.578
20,Female,West,65+,463.16,230.72,46,23.0,40,3.69,10.0687,0.09225
21,Male,East,35-49,570.61,46.91,28,5.6,61,5.41,20.3789,0.088689
22,Male,West,50-64,866.43,138.46,32,4.57,104,6.52,27.0759,0.062692
23,Male,West,18-34,108.64,115.69,34,5.67,67,6.83,3.1953,0.10194
24,Nonbinary,South,65+,814.55,201.22,10,3.33,129,4.94,81.455,0.038295
25,Male,East,35-49,1477.07,211.61,24,3.43,73,5.71,61.5446,0.078219
26,Male,North,18-34,1380.09,163.76,37,9.25,115,1.85,37.2997,0.016087
27,Nonbinary,East,50-64,419.55,42.9,37,37.0,39,7.66,11.3392,0.19641
28,Male,South,35-49,1272.22,32.67,31,5.17,86,3.83,41.0394,0.044535
29,Nonbinary,West,65+,954.53,94.22,16,8.0,57,1.7,59.6581,0.029825
30,Nonbinary,East,18-34,679.01,25.02,30,30.0,13,2.55,22.6337,0.196154
31,Male,West,65+,1309.73,290.43,43,7.17,134,3.73,30.4588,0.027836
32,Nonbinary,East,65+,1216.73,44.54,13,13.0,58,2.01,93.5946,0.034655
33,Female,South,18-34,353.38,201.61,46,23.0,121,8.58,7.6822,0.070909
34,Nonbinary,South,18-34,486.33,149.76,35,8.75,15,2.05,13.8951,0.136667
35,Female,West,65+,733.66,260.74,42,21.0,61,3.65,17.4681,0.059836
36,Male,North,50-64,61.42,196.51,50,12.5,116,8.64,1.2284,0.074483
37,Nonbinary,East,18-34,756.87,156.11,42,7.0,166,9.42,18.0207,0.056747
38,Male,South,18-34,816.05,138.16,25,5.0,26,3.41,32.642,0.131154
39,Nonbinary,West,65+,219.56,194.36,46,15.33,124,7.28,4.773,0.05871
40,Female,South,50-64,1103.0,151.39,33,16.5,139,2.98,33.4242,0.021439
41,Nonbinary,East,65+,240.18,102.15,50,12.5,116,8.5,4.8036,0.073276
42,Nonbinary,East,65+,1209.64,256.47,44,22.0,82,7.22,27.4918,0.088049
43,Female,West,35-49,301.27,63.77,36,36.0,116,9.49,8.3686,0.08181
44,Male,East,35-49,353.68,33.17,6,2.0,76,4.21,58.9467,0.055395
45,Female,South,18-34,1219.88,114.57,12,2.4,68,2.09,101.6567,0.030735
46,Female,West,50-64,1490.81,239.77,7,1.0,152,3.41,212.9729,0.022434
47,Female,North,18-34,1393.62,142.59,34,4.86,38,9.77,40.9888,0.257105
48,Nonbinary,North,18-34,785.59,66.77,12,1.71,62,9.2,65.4658,0.148387
49,Female,East,65+,1154.85,159.55,11,5.5,175,4.27,104.9864,0.0244
50,Female,North,35-49,686.71,136.41,5,2.5,131,4.07,137.342,0.031069
51,Nonbinary,South,18-34,435.72,220.26,31,10.33,171,6.98,14.0555,0.040819
52,Female,West,35-49,250.09,140.07,31,7.75,142,8.15,8.0674,0.057394
53,Male,North,65+,261.1,22.79,38,38.0,31,4.04,6.8711,0.130323
54,Male,South,65+,139.13,232.57,47,7.83,48,9.12,2.9602,0.19
55,Female,East,65+,632.9,210.64,40,5.71,87,7.49,15.8225,0.086092
56,Male,East,18-34,1249.16,272.06,44,22.0,189,4.64,28.39,0.02455
57,Nonbinary,South,65+,1061.33,268.55,46,11.5,60,8.93,23.0724,0.148833
58,Female,North,50-64,615.49,221.29,13,2.6,148,3.56,47.3454,0.024054
59,Female,East,50-64,1147.72,64.81,6,0.86,148,6.33,191.2867,0.04277
60,Female,East,65+,1481.08,50.92,8,1.14,105,3.34,185.135,0.03181
61,Nonbinary,East,18-34,119.21,202.27,12,3.0,86,6.15,9.9342,0.071512
62,Female,West,50-64,1475.28,245.51,42,8.4,192,9.05,35.1257,0.047135
63,Nonbinary,South,50-64,483.84,206.74,50,10.0,182,2.26,9.6768,0.012418
64,Male,South,18-34,525.38,183.06,28,7.0,35,2.32,18.7636,0.066286
65,Male,West,18-34,183.76,138.97,13,3.25,64,5.02,14.1354,0.078437
66,Male,West,65+,1314.42,183.61,45,11.25,122,7.2,29.2093,0.059016
67,Male,West,35-49,259.3,55.59,50,12.5,43,9.71,5.186,0.225814
68,Nonbinary,North,35-49,710.38,29.13,15,3.0,104,9.3,47.3587,0.089423
69,Female,West,18-34,225.26,180.09,7,1.4,49,2.06,32.18,0.042041
70,Male,East,50-64,476.27,27.83,14,7.0,160,4.8,34.0193,0.03
71,Male,East,35-49,315.46,227.1,5,5.0,150,4.14,63.092,0.0276
72,Female,West,65+,880.94,178.41,26,3.71,106,5.28,33.8823,0.049811
73,Nonbinary,South,35-49,781.91,149.06,33,5.5,124,2.34,23.6942,0.018871
74,Nonbinary,East,18-34,1209.73,206.06,31,7.75,69,9.1,39.0235,0.131884
75,Male,North,65+,1117.07,200.86,15,2.5,16,6.15,74.4713,0.384375
76,Nonbinary,East,18-34,983.68,43.84,44,8.8,157,7.82,22.3564,0.049809
77,Nonbinary,South,65+,778.83,25.23,47,9.4,56,9.66,16.5709,0.1725
78,Male,South,35-49,1253.05,254.9,42,10.5,31,8.26,29.8345,0.266452
79,Nonbinary,East,65+,903.89,157.61,6,2.0,121,2.62,150.6483,0.021653
