customer_id,purchase_amount
1,271.67
2,483.14
2,394.34
3,190.24
4,492.38
4,236.22
4,148.07
5,256.42
5,215.14
6,410.28
7,77.82
7,132.5
7,324.18
8,281.72
8,60.27
9,427.07
9,149.68
9,383.93
10,230.17
10,261.54
11,54.94
11,456.15
12,443.47
12,465.93
13,36.1
13,255.98
14,199.22
15,193.71
16,166.16
17,421.2
18,174.29
18,81.56
18,28.77
19,351.08
19,78.01
20,239.86
20,311.52
20,453.87
21,135.4
22,278.91
23,308.35
23,217.39
23,390.32
24,157.56
25,126.84
26,399.01
26,233.99
26,64.32
27,302.4
27,18.05
28,291.77
28,362.09
28,152.72
29,311.26
30,289.63
31,335.54
32,266.51
33,43.16
33,267.77
34,395.34
34,258.74
34,19.96
35,31.33
35,199.57
36,134.29
36,17.96
37,178.95
38,331.98
38,60.8
38,295.13
39,75.37
39,182.63
40,408.62
40,95.79
41,237.67
41,350.74
41,319.55
42,40.92
43,28.12
43,108.78
44,444.04
45,467.35
45,262.54
46,241.97
46,27.94
46,326.98
47,184.92
47,392.61
48,172.64
48,70.99
48,190.33
49,374.22
49,448.37
50,176.13
50,101.54
51,253.79
51,462.91
51,264.45
52,366.27
53,221.0
54,277.28
55,60.27
55,170.68
56,160.18
56,305.28
57,91.66
57,227.52
58,30.75
58,436.32
59,311.28
59,223.12
60,490.21
60,474.47
60,46.77
61,209.04
61,261.41
61,377.45
62,476.87
63,425.85
64,392.84
64,27.05
64,42.94
65,189.5
65,197.6
65,287.95
66,85.18
66,230.46
66,191.77
67,383.91
67,291.22
68,189.81
68,164.05
68,146.56
69,22.7
70,254.53
71,457.64
71,67.7
72,354.98
72,115.14
73,149.93
73,459.07
73,250.69
74,76.51
75,231.5
76,228.1
76,53.02
76,344.15
77,337.24
77,357.67
78,275.66
78,446.75
78,427.17
79,357.69
79,353.11
79,95.3
80,259.29
80,69.47
81,398.11
82,397.28
83,186.84
84,190.77
84,403.79
84,280.31
85,443.28
85,42.22
85,205.1
86,362.25
86,267.59
86,386.89
87,46.14
87,486.47
87,324.75
88,238.26
88,263.51
89,440.2
90,323.5
90,99.16
90,483.47
91,256.4
91,435.42
92,263.87
93,90.68
93,168.1
94,120.48
94,474.27
94,264.26
95,424.51
95,132.8
96,478.61
96,144.48
96,316.26
97,271.4
97,256.26
97,92.63
98,85.56
98,332.78
98,363.11
99,175.43
99,462.73
99,30.19
100,49.8
101,387.8
101,139.68
101,113.3
102,214.13
102,323.11
102,254.04
103,277.33
103,324.53
103,158.03
104,404.3
105,208.99
105,232.24
105,347.42
106,225.41
107,237.58
107,176.69
108,163.17
109,166.47
109,494.13
109,179.23
110,74.08
110,191.56
111,62.03
111,128.45
111,70.04
112,131.48
112,57.44
113,473.24
113,433.44
114,131.65
114,434.0
115,408.6
116,363.35
116,103.02
116,88.08
117,238.74
117,440.75
117,253.71
118,473.16
119,234.04
119,127.96
119,295.84
120,34.76
121,302.78
121,423.0
122,240.59
122,272.98
122,425.11
123,75.63
123,139.59
124,384.29
124,189.31
125,35.07
125,285.29
126,281.08
126,46.03
127,230.67
127,279.43
127,414.4
128,343.4
128,68.22
128,487.79
129,192.87
129,493.53
130,470.08
130,379.93
130,107.54
131,206.68
131,29.72
131,29.07
132,173.19
132,242.13
132,233.92
133,447.63
133,78.49
133,466.37
134,89.63
134,495.4
135,422.87
135,300.93
135,258.58
136,270.85
136,357.28
136,156.9
137,190.5
138,63.71
138,214.1
138,160.76
139,437.33
139,318.34
139,302.49
140,483.86
140,393.62
141,293.04
141,363.49
141,295.93
142,266.87
143,313.67
143,422.17
143,82.41
144,128.68
144,290.56
144,353.26
145,19.28
146,215.2
146,212.35
147,211.08
148,461.06
148,437.68
148,370.56
149,355.83
150,111.6
150,169.27
150,334.49
151,194.64
151,478.78
151,235.24
152,177.74
152,183.6
152,388.27
153,343.57
153,403.79
153,139.54
154,104.21
154,130.79
155,156.26
155,471.33
155,491.31
156,355.4
156,348.22
157,165.35
157,180.91
158,143.99
158,69.72
158,341.54
159,448.92
159,203.32
160,477.76
160,404.26
161,30.61
161,478.1
162,179.72
163,331.43
163,376.2
164,109.01
165,142.86
165,285.39
165,143.09
166,311.68
167,127.25
167,34.88
167,453.54
168,322.59
169,59.1
170,361.51
170,59.27
171,12.54
172,489.18
172,87.39
172,329.92
173,243.95
173,107.73
174,167.37
174,326.49
175,329.63
176,272.22
177,426.66
177,28.28
177,461.52
178,442.3
178,96.14
179,498.61
180,396.1
180,101.29
181,481.44
181,463.76
181,439.6
182,156.21
183,62.58
183,491.67
183,149.44
184,276.22
184,252.02
184,469.89
185,239.33
185,104.48
185,65.2
186,368.25
187,136.06
187,101.24
187,370.94
188,288.21
188,381.07
189,309.37
190,449.55
190,415.23
190,262.49
191,206.41
192,100.54
193,243.95
194,13.35
195,125.41
195,379.34
196,157.95
196,364.21
197,138.16
198,349.46
198,40.44
199,238.04
200,208.65
201,462.32
201,445.02
201,387.22
202,67.53
202,458.9
202,154.57
203,118.22
203,479.11
203,244.31
204,376.39
204,306.81
205,353.95
205,457.27
206,402.98
206,414.55
206,383.31
207,379.82
207,437.84
207,50.12
208,268.8
208,187.27
209,64.98
209,416.1
209,452.42
210,290.62
211,90.62
212,226.5
212,343.34
212,361.29
213,54.56
213,260.08
214,232.18
215,213.56
215,286.32
215,283.81
216,405.39
216,364.41
216,204.01
217,375.44
218,45.78
218,217.61
218,353.19
219,497.12
219,467.95
219,43.82
220,25.55
220,210.34
221,385.26
222,326.48
222,215.98
222,496.5
223,229.78
223,459.39
224,194.07
224,344.54
225,438.53
225,75.17
225,431.54
226,97.45
227,202.6
227,72.4
227,489.57
228,380.53
229,236.87
229,362.36
230,270.65
230,413.45
231,235.71
232,145.07
233,385.09
233,25.79
233,333.5
234,385.37
234,443.04
234,17.67
235,42.97
236,26.45
236,302.91
236,354.61
237,129.92
238,207.11
239,274.48
240,78.67
241,124.74
241,459.03
242,166.26
242,302.98
242,339.54
243,126.08
243,439.37
244,265.41
244,212.64
244,144.83
245,474.77
245,441.06
245,456.67
246,342.59
246,282.37
246,32.97
247,471.38
247,338.96
248,166.18
248,214.0
248,83.12
249,100.1
249,273.58
250,426.18
