customer_id,interactions
1,6
1,18
2,8
2,19
3,13
4,10
4,5
5,1
6,19
6,2
7,20
8,20
8,8
9,16
10,11
11,8
12,11
12,6
13,11
14,1
14,9
15,8
16,12
17,4
17,1
18,13
19,14
19,6
20,16
20,13
21,18
21,13
22,16
23,6
24,3
24,2
25,1
25,11
26,4
26,3
27,6
27,13
28,3
29,11
30,1
30,14
31,20
32,6
32,2
33,11
34,7
35,18
35,18
36,10
36,10
37,4
38,13
39,5
39,2
40,1
40,14
41,10
42,7
42,4
43,7
44,10
45,16
46,10
47,16
47,16
48,3
48,18
49,6
49,12
50,12
50,6
51,2
51,9
52,15
52,9
53,9
54,5
55,3
56,18
56,14
57,18
58,13
59,18
59,16
60,16
61,3
61,13
62,17
63,4
64,6
64,6
65,7
66,2
67,3
67,14
68,5
69,11
69,3
70,13
71,18
71,11
72,17
72,15
73,20
74,4
74,14
75,5
76,4
77,10
78,14
78,9
79,16
79,19
80,2
80,6
81,13
81,5
82,2
82,13
83,8
83,2
84,9
84,12
85,11
86,10
86,9
87,4
87,8
88,10
89,11
89,9
90,20
90,3
91,15
92,14
93,17
93,12
94,17
95,3
96,17
96,13
97,17
98,6
99,7
100,8
101,15
102,12
103,9
104,15
104,17
105,4
105,1
106,12
107,20
107,15
108,16
109,12
109,6
110,3
110,10
111,13
112,6
113,8
114,7
115,14
115,17
116,1
117,5
117,6
118,8
119,20
119,10
120,14
120,13
121,15
121,9
122,15
123,17
123,20
124,19
124,4
125,17
126,18
126,20
127,10
127,4
128,3
128,11
129,11
129,9
130,10
130,7
131,17
132,2
133,11
133,5
134,16
135,9
135,14
136,13
136,2
137,11
138,18
139,12
139,17
140,6
140,18
141,10
142,16
143,9
144,11
145,8
146,8
146,10
147,11
147,12
148,19
148,10
149,4
149,16
150,19
151,16
152,17
153,13
154,14
154,2
155,5
156,11
157,19
157,15
158,11
159,3
160,11
160,6
161,2
161,1
162,9
162,7
163,19
164,16
165,5
166,14
166,13
167,16
167,13
168,2
169,12
170,11
171,1
172,8
173,12
174,5
174,4
175,17
175,19
176,6
176,3
177,10
178,15
178,17
179,14
179,5
180,16
180,12
181,6
182,1
182,8
183,5
184,1
185,4
186,2
186,13
187,18
187,20
188,20
189,4
190,2
191,14
192,13
192,4
193,16
193,5
194,1
195,14
195,4
196,20
196,20
197,14
198,17
199,10
200,4
201,7
201,20
202,9
203,12
204,10
204,6
205,18
206,7
206,16
207,8
207,1
208,3
209,19
210,5
210,3
211,4
212,8
212,15
213,9
213,15
214,4
215,2
216,12
216,11
217,4
217,4
218,1
219,6
220,12
220,15
221,3
221,12
222,6
222,4
223,13
223,15
224,13
224,16
225,6
225,4
226,2
227,4
228,19
228,16
229,6
229,20
230,12
230,20
231,5
232,16
232,4
233,15
233,2
234,9
235,1
235,17
236,11
237,14
238,16
239,13
239,5
240,1
241,17
242,16
242,6
243,16
244,8
244,11
245,2
245,17
246,18
247,13
247,8
248,15
249,19
249,15
250,16
251,11
251,4
252,1
252,4
253,14
253,2
254,3
255,17
255,18
256,15
257,12
257,2
258,15
259,18
259,20
260,12
260,15
261,4
262,1
263,12
263,10
264,4
264,2
265,16
266,14
267,9
268,7
269,13
270,15
271,11
272,14
273,19
274,15
275,19
275,17
276,16
277,17
278,18
279,19
279,16
280,19
281,5
282,13
283,17
283,13
284,20
284,8
285,13
285,11
286,15
286,5
287,14
288,18
288,11
289,7
290,20
291,12
291,5
292,17
293,4
293,12
294,19
294,19
295,18
295,10
296,1
296,17
297,1
298,5
298,2
299,7
300,6
300,10
301,5
301,2
302,7
302,18
303,12
304,4
304,20
305,18
306,8
306,17
307,2
307,13
308,14
308,11
309,1
310,7
310,20
311,8
311,12
312,7
313,15
313,6
314,6
315,17
316,13
317,14
318,18
318,9
319,6
320,1
320,11
321,5
321,2
322,11
323,20
324,16
324,19
325,3
325,11
326,6
327,17
328,14
329,3
329,12
330,7
331,11
331,12
332,7
332,20
333,18
333,1
334,12
335,8
335,20
336,2
337,13
337,4
338,9
338,18
339,1
339,17
340,17
340,17
341,16
341,2
342,7
342,11
343,4
344,18
345,3
346,7
347,4
347,7
348,3
348,5
349,15
350,2
350,3
351,2
352,9
353,19
354,9
355,13
355,15
356,14
356,11
357,13
358,18
359,20
360,19
361,3
362,17
362,4
363,10
363,20
364,10
365,13
365,13
366,16
367,18
368,5
369,18
369,10
370,10
371,1
371,18
372,4
373,1
374,18
374,18
375,10
376,12
377,14
378,6
379,8
380,7
380,4
381,19
382,18
383,18
383,3
384,3
384,9
385,7
386,11
386,12
387,8
388,10
389,7
390,16
390,15
391,20
391,10
392,19
393,11
393,14
394,1
395,8
395,8
396,9
396,12
397,11
398,15
398,15
399,10
399,16
400,6
401,9
402,18
403,9
404,3
405,17
406,19
407,19
407,7
408,18
409,18
409,18
410,5
410,12
411,8
411,19
412,5
412,15
413,13
414,17
414,1
415,20
416,17
417,15
418,6
419,16
420,2
420,8
421,8
421,3
422,12
422,8
423,7
424,13
424,16
425,2
425,2
426,4
426,17
427,9
427,19
428,13
429,12
429,19
430,17
431,13
431,8
432,12
432,12
433,16
433,20
434,17
435,15
436,8
437,17
438,7
438,5
439,6
440,20
440,4
441,14
442,4
442,16
443,16
443,7
444,14
445,8
446,5
447,5
448,19
449,2
450,9
451,17
452,20
452,19
453,10
454,7
455,20
455,16
456,6
456,8
457,20
457,5
458,20
459,6
459,11
460,20
460,19
461,8
462,13
462,5
463,1
464,17
465,5
465,20
466,6
467,20
467,20
468,18
469,3
470,5
470,20
471,14
472,12
472,2
473,8
473,16
474,12
474,19
475,14
476,9
477,8
477,3
478,20
478,18
479,9
479,7
480,1
481,17
482,13
483,11
484,12
484,4
485,14
486,9
486,18
487,19
487,12
488,13
488,7
489,18
489,18
490,6
490,12
491,9
491,10
492,13
492,5
493,8
494,6
494,4
495,17
496,11
496,18
497,6
498,1
498,3
499,16
500,3
500,3
501,8
501,12
502,20
503,13
504,20
504,17
505,20
505,2
506,16
507,1
507,7
508,7
508,2
509,20
510,2
511,8
511,1
512,3
513,13
513,12
514,13
514,19
515,17
516,3
517,18
518,18
518,19
519,12
519,9
520,20
521,15
522,19
522,1
523,6
523,14
524,18
525,17
526,11
526,4
527,18
527,19
528,15
528,13
529,8
529,11
530,15
530,19
531,16
532,9
533,13
534,8
535,14
535,12
536,9
537,10
538,13
539,3
539,18
540,16
541,12
541,7
542,6
542,7
543,7
543,8
544,9
545,8
546,8
547,5
